Tweet Id,Datetime,tweet,clean_text,sentiment
1331228629016068096,2020-11-24 13:30:12,"Best OTTs in the market 
(1)Sony Liv
(2)Amazon prime
(3)voot
(4) Netflix India
(5)Mx player
(6)hotstar
(7)Zee5",Best OTTs in the market 1 Sony Liv 2 Amazon prime 3 voot 4 Netflix India 5 Mx player 6 hotstar 7 Zee5,positive
1331228278011482113,2020-11-24 13:28:49,"@sanamkumar6504 @PranjalKamra PGIM India global ,has around 97% allocation in PGIM Jennsn global equity opportunity… https://t.co/t8Km0shAYp",PGIM India global has around 97 allocation in PGIM Jennsn global equity opportunity,positive
1331228077796503552,2020-11-24 13:28:01,"@cgymuthu As we operate independently, please reach out to the customer support team of Amazon India, here: https://t.co/3aNN9KhqC1. ^AW",As we operate independently please reach out to the customer support team of Amazon India here AW,positive
1331227753908146176,2020-11-24 13:26:44,@AmazonHelp It's in amazon india,It s in amazon india,positive
1331224569668018176,2020-11-24 13:14:05,https://t.co/GgJrcinxKJ,,neutral
1331224285415817216,2020-11-24 13:12:57,@LGSBOTTOM TF is not available on Amazon India and chrome book is like 1.5k,TF is not available on Amazon India and chrome book is like 1 5k,positive
1331223782086721540,2020-11-24 13:10:57,"@vinayak_jain PUBG mobile, Cam Scanner are the top chinese apps in India. I dont think AliExpress will be affected… https://t.co/b3Vm0UemVn",jain PUBG mobile Cam Scanner are the top chinese apps in India I dont think AliExpress will be affected,positive
1331223576171646976,2020-11-24 13:10:08,"YOUR DAILY LOVE &amp; SAFETY REMINDER! #WearAMask #WearAMaskPlease

Quick delivery #Masks via Amazon @… https://t.co/KrhQffLjmf",YOUR DAILY LOVE amp SAFETY REMINDER WearAMask WearAMaskPlease Quick delivery Masks via Amazon,positive
1331223561487396866,2020-11-24 13:10:04,@SpigenWorld When @ Amazon India?,When Amazon India,positive
1331223487805984775,2020-11-24 13:09:47,@RahulReply @Musical_Ashaa Yes Amazon is bad for india,Ashaa Yes Amazon is bad for india,negative
1331223450556370946,2020-11-24 13:09:38,@yeatzus Also most of rural India utilises the local post office to access goods purchased online. Think it's advis… https://t.co/KwbsMpQCc5,Also most of rural India utilises the local post office to access goods purchased online Think it s advis,neutral
1331221542613774337,2020-11-24 13:02:03,"1) To all in the UK; the USA; India and Canada reading ~ HWSNBN ~ FREE Hybrid Series Spin-off on Amazon, Apple &amp; B&amp;… https://t.co/2KnnljYwf3",1 To all in the UK the USA India and Canada reading HWSNBN FREE Hybrid Series Spin off on Amazon Apple amp B amp,positive
1331221536317980673,2020-11-24 13:02:01,@yeatzus Using a distribution service doesn't mean using their app or technology but only the channels they've set… https://t.co/wO1BTXU0w0,Using a distribution service doesn t mean using their app or technology but only the channels they ve set,neutral
1331220884774735877,2020-11-24 12:59:26,"@_pushyamitr @asapexchange Chinese small companies are making specialised goods which only they make like ICs, conn… https://t.co/iVHlUNDLlz",pushyamitr Chinese small companies are making specialised goods which only they make like ICs conn,positive
1331220713533886471,2020-11-24 12:58:45,"seriously f**k this https://t.co/l5Cci7EmCi seller named: Planet_ID_India
this seller is selling duplicate/pirated… https://t.co/sHwHWqUecO",seriously f k this seller named Planet ID India this seller is selling duplicate pirated,negative
1331219159372288001,2020-11-24 12:52:35,@JeffBezos sir your @AmazonHelp @amazonIN is keeping chor cheaters fraud like merchants @KalyanJewellers… https://t.co/BI4WdPUwnj,sir your is keeping chor cheaters fraud like merchants,negative
1331217821087522816,2020-11-24 12:47:16,"England 1799: A traumatised soldier returns from India to a hostile family and derelict inheritance.
A widow and he… https://t.co/fkmynLZ26o",England 1799 A traumatised soldier returns from India to a hostile family and derelict inheritance A widow and he,negative
1331216410266112003,2020-11-24 12:41:39,"10 Best Nike Shoes For Men

https://t.co/xXBqFtMJyQ

#best #shoes #Amazon #India #CycloneAlert #Cyclone #Chennai",10 Best Nike Shoes For Men best shoes Amazon India CycloneAlert Cyclone Chennai,positive
1331215622630301699,2020-11-24 12:38:31,"Deal Price: ₹ 120.00
Discount: ₹ 130.00 (52%)https://t.co/n5P07AFGq5",Deal Price 120 00 Discount 130 00 52,neutral
1331213516494282753,2020-11-24 12:30:09,"Through the stories of mulitple women, #TheCityMakers shows us how women of the urban poor are building a sustainab… https://t.co/YgLEKAT5vW",Through the stories of mulitple women TheCityMakers shows us how women of the urban poor are building a sustainab,negative
1331213488891588608,2020-11-24 12:30:03,"13 Best and Cheapest Air Purifier available online in India

See: https://t.co/sTbuc0hMSK

#isrgrajan… https://t.co/v4sisTfR2R",13 Best and Cheapest Air Purifier available online in India See isrgrajan,positive
1331212557164507140,2020-11-24 12:26:21,@asapexchange It wont affect the prices of finished goods. But it will harm indian seller and project makers who bu… https://t.co/VNvs9n2M49,It wont affect the prices of finished goods But it will harm indian seller and project makers who bu,negative
1331212313425219592,2020-11-24 12:25:22,"They don't have any problem with Amazon, Flipkart but since AliExpress &amp; Alibaba are Chinese, therefore it is a pro… https://t.co/2bNNy2lthy",They don t have any problem with Amazon Flipkart but since AliExpress amp Alibaba are Chinese therefore it is a pro,negative
1331211372961558530,2020-11-24 12:21:38,https://t.co/sJIubdh6hw,,neutral
1331211362953883653,2020-11-24 12:21:36,https://t.co/B4Gv6xoooU,,neutral
1331210374033461248,2020-11-24 12:17:40,"15 Best Home Decor Items On Amazon India

Link: https://t.co/NO26PIkeaN

#best #homedecor #items #Amazon #AUSvIND… https://t.co/ZrtWfUKiio",15 Best Home Decor Items On Amazon India Link best homedecor items Amazon AUSvIND,positive
1331209920130105345,2020-11-24 12:15:52,"Best Quality Products N4 size (15.5 X 12.5 X 2)

Very Affordable | Always ready stock | Delivery available in all o… https://t.co/ZKP7BQ4huX",Best Quality Products N4 size 15 5 X 12 5 X 2 Very Affordable Always ready stock Delivery available in all o,positive
1331209722205249539,2020-11-24 12:15:05,"Which design would you choose? 
comment down 'This' for the first one or 'That' for the second one. 

To buy click… https://t.co/LOd1x8Uw8B",Which design would you choose comment down This for the first one or That for the second one To buy click,neutral
1331208715626631169,2020-11-24 12:11:05,"Deal Price: ₹ 599.00
Discount: ₹ 400.00 (40%)https://t.co/8x9kRL3Bcl",Deal Price 599 00 Discount 400 00 40,neutral
1331208072442777600,2020-11-24 12:08:31,"Great Amazon India 👏
Great Campaign
#amazon #amazonindia #amazing
#marketingideas #marketing #marketingagency https://t.co/083HoRJdUY",Great Amazon India Great Campaign amazon amazonindia amazing marketingideas marketing marketingagency,positive
1331207989852704768,2020-11-24 12:08:12,@AmazonHelp Amazon india,Amazon india,positive
1331207717881479168,2020-11-24 12:07:07,"https://t.co/GRmVCejCuW

#CORN #OIL
#BEST #VEGETABLE #OIL
#BEST #BLENDED #OIL
#BEST #OIL #FOR #COOKING
#SAFFOLA… https://t.co/scPStFBtpO",CORN OIL BEST VEGETABLE OIL BEST BLENDED OIL BEST OIL FOR COOKING SAFFOLA,positive
1331207517569904641,2020-11-24 12:06:19,"https://t.co/0cUL55v4zt

#BEST #COOKING #OIL #IN #INDIA
#RICE #BRAN #OIL
#CANOLA #OIL
#OMEGA - #6 
#OMEGA - #3… https://t.co/t2KeR7JhO5",BEST COOKING OIL IN INDIA RICE BRAN OIL CANOLA OIL OMEGA 6 OMEGA 3,positive
1331207120264445956,2020-11-24 12:04:44,"India Furnish Polyester Eyelet 8 Piece Door Curtain Set - 7 Feet, Brown

Rs:779

 https://t.co/O7Xz8dD0CN",India Furnish Polyester Eyelet 8 Piece Door Curtain Set 7 Feet Brown Rs 779,neutral
1331206533565227010,2020-11-24 12:02:24,"Deal Price: ₹ 740.00
Discount: ₹ 159.00 (18%)https://t.co/ULUHb3qTJj",Deal Price 740 00 Discount 159 00 18,neutral
1331205440638648323,2020-11-24 11:58:04,"@amazonIN @JeffBezos @GSTMumCentral @CAITIndia Following seller on Amazon India 
has been evading GST tax of 18%. S… https://t.co/G8SyUEVcVo",Following seller on Amazon India has been evading GST tax of 18 S,positive
1331204683831021569,2020-11-24 11:55:03,"https://t.co/ZYNoovqDnM: Online Shopping India - Buy mobiles, laptops, cameras, books, watches, apparel, shoes and… https://t.co/cyVJM5RAqE",Online Shopping India Buy mobiles laptops cameras books watches apparel shoes and,neutral
1331204664843325441,2020-11-24 11:54:59,"📢 ANNOUNCEMENT

💠Buying Blue &amp; Grey on Amazon option is NOT available in India.
- Those who have Prime can still st… https://t.co/g7I7W8idVX",ANNOUNCEMENT Buying Blue amp Grey on Amazon option is NOT available in India Those who have Prime can still st,positive
1331204387989929984,2020-11-24 11:53:53,"Deal Price: ₹ 649.00
Discount: ₹ 738.00 (53%)https://t.co/9RY9tkURnS",Deal Price 649 00 Discount 738 00 53,neutral
1331204254586073094,2020-11-24 11:53:21,@ganesh_dev_ @tushjain15 @fwildecricket @WisdenCricket @sportsbookaward @Polaris_Books We're out in paperback in In… https://t.co/G9ihw6w5Bf,dev Books We re out in paperback in In,neutral
1331204181827325953,2020-11-24 11:53:04,"Deal Price: ₹ 899.00
Discount: ₹ 1,100.00 (55%)https://t.co/FeDXFHGXxX",Deal Price 899 00 Discount 1 100 00 55,neutral
1331202168582332417,2020-11-24 11:45:04,"Deal Price: ₹ 416.00
Discount: ₹ 84.00 (17%)https://t.co/JnR3gDSFlc",Deal Price 416 00 Discount 84 00 17,neutral
1331202040991604737,2020-11-24 11:44:33,"Deal Price: ₹ 3,999.00
Discount: ₹ 4,000.00 (50%)https://t.co/ekjSROGy4h",Deal Price 3 999 00 Discount 4 000 00 50,neutral
1331202027796402178,2020-11-24 11:44:30,"Deal Price: ₹ 1,460.00
Discount: ₹ 1,039.00 (42%)https://t.co/MQapAsRiLg",Deal Price 1 460 00 Discount 1 039 00 42,neutral
1331201919168126977,2020-11-24 11:44:04,https://t.co/VLf7rogOK0,,neutral
1331201797604610049,2020-11-24 11:43:35,"Which channel will be streaming NZ vs WI series in India? 
I've got the news that Sony and Star are not gonna steam… https://t.co/bbQDwcr36W",Which channel will be streaming NZ vs WI series in India I ve got the news that Sony and Star are not gonna steam,neutral
1331201247014076416,2020-11-24 11:41:24,"Which channel will be streaming NZ vs WI series in India? 
I've got the news that Sony and Star are not gonna steam… https://t.co/ENwgtdXz0B",Which channel will be streaming NZ vs WI series in India I ve got the news that Sony and Star are not gonna steam,neutral
